track_name,track_id,artist_name,cosine_dist,predicted_genre,danceability,energy,loudness,acousticness,valence,tempo
Simple Lang Talaga,0zoiRykgSiGM0vPwiaWaRO,Nyoy Volante,0.019389858835057172,hopeful,0.716,0.474,0.6087783726383789,0.68,0.607,0.5320331596898334
My Sweet Escape,5Mgu1Ua5ttoKbOJ3xIbViL,Moira Dela Torre,0.01969536952241313,hopeful,0.633,0.55,0.5647095261271626,0.47,0.545,0.574047232945386
Para Sa Mga Ex,0QrDZcugWmdJSSPZmaIGab,Zack Tabudlo,0.019757172374263776,hopeful,0.622,0.439,0.7533737445245787,0.715,0.714,0.3780118536802376
Everyday with You,47jTsNoUy9y6sgca3lbard,Julie Anne San Jose,0.019901302740178983,hopeful,0.538,0.488,0.7415601079598249,0.833,0.538,0.6177355548220752
"Gabay - From ""Raya and the Last Dragon""/Tagalog Version",71OnPftCkxTxhtAICYMuZz,KZ Tandingan,0.019912118600948436,hopeful,0.702,0.424,0.5897969116410778,0.5,0.346,0.4831068314127309
Your Song (My One and Only You),5Seh4HfqT1mFnRJQswqz51,Julie Anne San Jose,0.020049050235894095,hopeful,0.507,0.367,0.7517366488208488,0.726,0.362,0.4019440418275141
This Gravity - Acoustic,7xZZTqZXn95990N5keVYAf,juan karlos,0.0202191470166746,hopeful,0.755,0.414,0.677226671386222,0.524,0.535,0.5641404646757459
Panahon Na Naman Ng Harana,0YoRilNCFFuoT3T0KOA4wF,Rico Blanco,0.02064914994322753,hopeful,0.741,0.55,0.5632936595725854,0.562,0.607,0.4593516352625461
Miss Kita,5U2YOPnIrggKoelaNJVLkj,Nyoy Volante,0.02094134292148986,hopeful,0.588,0.619,0.7832839254900228,0.69,0.631,0.8128190041569201
"Ako'Y Sa'Yo, Ika'Y Akin Lamang - From ""MOMOL Nights""",38bTbJMIYDYleIiZbUihgs,KZ Tandingan,0.020988640731506414,hopeful,0.524,0.551,0.7963364452900316,0.592,0.33,0.6886949949533363
See You at the Café - Heartful Café,5L1hn78lOQ2A2txWHyGjXq,Julie Anne San Jose,0.021043789018781456,hopeful,0.746,0.536,0.7112074686960754,0.469,0.706,0.5500815598256867
Sana,3WgYEnpYw6n1o3JOuHPUxF,Up Dharma Down,0.02148120629459971,hopeful,0.731,0.478,0.7266935091367639,0.391,0.606,0.3873445938512023
Carry My Love (Amor Cobarde),3X2TkP0Uj4rc5471lvsq7g,Sarah Geronimo,0.02151214346713959,hopeful,0.597,0.562,0.707313835670988,0.32,0.49,0.5636190558194489
Kiss n Tell (feat. Skusta Clee),3fuTBztIKqG9OVgVoMKOiZ,John Roa,0.021812090975722787,hopeful,0.703,0.57,0.7720012388832354,0.433,0.745,0.4208965362187812
Alam Niya Ba,3U4TlmZu6FTBbTj8VDmwUw,James Reid,0.02193894622969572,hopeful,0.69,0.828,0.8439007123578605,0.52,0.854,0.5068715946978938
Give Love on Christmas Day,3EbXTGemXMJGiulLHooO9A,Daniel Padilla,0.021953742897734108,hopeful,0.626,0.453,0.7834166629795143,0.303,0.468,0.3587914795095886
Miss You,1VtKLC5oZ6aacOq76eCK4u,juan karlos,0.021967592821139803,hopeful,0.623,0.369,0.6563868855360383,0.627,0.279,0.320436835383092
Bakit Nga Ba,0x06IU8WsY8NCNnMZfBya5,Yeng Constantino,0.02205670165249296,hopeful,0.655,0.546,0.7205875846201496,0.347,0.289,0.4498036345545781
Sana S’ya Na,1RcbmCX7TaaZxaPip0cU86,Daniel Padilla,0.02207653994004244,hopeful,0.707,0.429,0.6387770452634839,0.66,0.671,0.4303823505493927
Sana S'ya Na,7LcqJusIZazKQRQqF1eAoV,Daniel Padilla,0.02207653994004244,hopeful,0.707,0.429,0.6387770452634839,0.66,0.671,0.4303823505493927
Try,079YDRVV6NaioJUkWD1YWG,Nyoy Volante,0.022497652370139454,hopeful,0.483,0.584,0.8454050705720988,0.626,0.308,0.6684222359351156
